text,aspect_start,aspect_end,opinion_start,opinion_end,sentiment,category
th? thôi mau h?t ghê không b? xót t?p nào m?i ng??i ai c?ng vui hài d? th??ng h?t mình ??i mùa 8 quá ,,,,,positive,OTHER
beat suboi bi?t qu?y thì thôi rôi v? phía bên trong là,0,1,,,positive,SPECIALIZE
th?c s? mong có mùa sau và mong ch??ng trình ghé th?m m?nh ??t thanh hóa bên trên là,,,0,16,positive,SPECIALIZE
yêu bray quá t?o ra,0,0,1,1,positive,OTHER
karik mãi ??nh,0,0,1,2,positive,OTHER
tr?i ?i giây phút ??m ng??c chào ?ón giao th?a mà ông tr??ng giang ông d?ch ra cái gì á,,,0,19,neutral,APPEARANCE
vì anh krick tôi ch?n s? 2 và s? 8 n?i b? là,,,,,neutral,OTHER
?ng h? dàn ngh? s? chính ?ng h? ch??ng trình xu?ng,2,4,0,1,positive,OTHER
?ng h? dàn ngh? s? chính ?ng h? ch??ng trình xu?ng,7,8,5,6,positive,OTHER
"fan mikelodic ?âu r?i ? , gáy to lên nào top 5 c?ng không ???c vào",0,1,2,15,negative,SPECIALIZE
nói d? d? ch?i ?n gian khúc o?n tù xì v?i vinh,2,2,3,11,neutral,APPEARANCE
a ?? mua gi?i cho double2 r?i,5,5,,,neutral,OTHER
mi?n chê nghe hoài không chán,,,0,5,positive,SPECIALIZE
su nay ??p quá qua phía bên trong là,0,0,2,2,positive,APPEARANCE
gì mà b? l?i âm thanh quài d?,4,5,3,3,negative,TECHNICAL
doub trình ?éo j mà vô ??ch,0,0,,,negative,SPECIALIZE
"team big nghe nh?c ai c?ng cu?n , âm thanh hay",0,1,2,10,positive,SPECIALIZE
huhu ai gi?ng tui không ki?u ?ang xúc ??ng nghe ông kia hát h?t bu?n luôn á ?ng hát d? vãi ý,,,,,neutral,OTHER
ui khúc ch? y?n hát chung v?i ch? nhi nghe nó ?ã tai gì ?âu,1,8,9,14,positive,SPECIALIZE
tui th?y t?p này nh?t nh?t t? tr??c t?i gi? lun,2,3,4,10,negative,SPECIALIZE
quán quân khiêm t?n ghê,0,1,2,4,positive,CHARACTERISTIC
a thái vg rap nghe ?ã tai quá nghe chia s? c?a các hu?n luy?n viên quá xúc ??ng luôn,0,2,3,8,positive,SPECIALIZE
a thái vg rap nghe ?ã tai quá nghe chia s? c?a các hu?n luy?n viên quá xúc ??ng luôn,12,15,9,19,positive,SPECIALIZE
anh b?p d? th??ng quá hài r?t duyên,0,1,2,3,positive,APPEARANCE
anh b?p d? th??ng quá hài r?t duyên,0,1,4,7,positive,CHARACTERISTIC
he he xem 2 ngày 1 ?êm c??i m?t thi?t luôn v?y mà t?p nào c?ng xem ?i xem l?i v?y,3,6,7,10,positive,OTHER
nh?c vanda nghe âu m? th?t m?c dù là lyrics ti?ng campuchia trên,0,1,2,11,positive,SPECIALIZE
mong là mùa 4 v?n là nh?ng giám kh?o và các hu?n luy?n viên nài n?a mãi iu qua là,2,3,0,17,positive,SPECIALIZE
hu?nh công hi?u x?ng ?áng vô ??ch,0,2,3,6,positive,SPECIALIZE
"tao ?ã replay cái khúc anh thái ráp , ?óng tune ??nh vl",3,7,0,12,positive,SPECIALIZE
bài c?a 3 th?y trò bray hay qua . bray gi?ng ??c rap hay th?t,0,5,6,7,positive,SPECIALIZE
bài c?a 3 th?y trò bray hay qua . bray gi?ng ??c rap hay th?t,9,9,1,14,positive,SPECIALIZE
"mn ?i , sao lúc trao gi?i karik l?i v?ng m?t v?y",4,4,3,11,neutral,APPEARANCE
c?m ?n ch??ng trình c?m ?n dàn cast và ekip n?u không,2,3,0,1,positive,OTHER
c?m ?n ch??ng trình c?m ?n dàn cast và ekip n?u không,6,9,4,5,positive,OTHER
mùa này bài nào c?ng dính vào tai dính vào ??u dính tùm lum t?a l?a nh?,,,,,neutral,OTHER
"bài bray v?i thái vg ??nh vãi , nghe nghi?n th?t s?",0,4,5,11,positive,SPECIALIZE
hoàng h?i là ký ?c th?i h?c trò c?a mình tuy?t v?i v? phía bên ngoài,0,1,2,11,positive,OTHER
th?t s? team bray quá hay th?t s? ti?c nu?i khi rap vi?t mùa 3 ?ã k?t thúc,2,3,4,7,positive,OTHER
th?t s? team bray quá hay th?t s? ti?c nu?i khi rap vi?t mùa 3 ?ã k?t thúc,11,14,6,17,positive,OTHER
c??i ch?y n??c m?t c?m ?n c? nhà 7 n? cùng khách m?i,,,0,3,positive,OTHER
c??i ch?y n??c m?t c?m ?n c? nhà 7 n? cùng khách m?i,6,12,4,5,positive,OTHER
eh eh c?m ?n ch??ng trình và dàn cast ch??ng trình hay và ý ngh?a l?m,4,8,2,3,positive,OTHER
eh eh c?m ?n ch??ng trình và dàn cast ch??ng trình hay và ý ngh?a l?m,9,10,11,15,positive,SPECIALIZE
toii th?y b? g?u hát hay v?y mà lo?i thôi kh?i xem ae còn l?i c? ti?p t?c theo dõi nhé riêng tôi th?y ngán r?i hát hay mà b? lo?i,2,3,4,5,positive,SPECIALIZE
toii th?y b? g?u hát hay v?y mà lo?i thôi kh?i xem ae còn l?i c? ti?p t?c theo dõi nhé riêng tôi th?y ngán r?i hát hay mà b? lo?i,2,3,8,8,negative,SPECIALIZE
rider hát hay th? l?i không ???c gi?i gì ak . ch??ng trình ki?u gì v?y không bi?t nh? v?y thì,0,0,1,9,negative,SPECIALIZE
rider hát hay th? l?i không ???c gi?i gì ak . ch??ng trình ki?u gì v?y không bi?t nh? v?y thì,11,12,13,17,negative,SPECIALIZE
ôi tr?i bà ph??ng bã ??p thêm m?i ngày luôn chèn,2,3,4,10,positive,APPEARANCE
"ông thái rap ??nh th?t s? luôn , huy?n tho?i th?t s? ?i v?",0,1,2,11,positive,SPECIALIZE
"rv mùa này hay th?t , nh?c hay , các team ??u ??nh",0,2,3,7,positive,SPECIALIZE
"rv mùa này hay th?t , nh?c hay , các team ??u ??nh",9,10,11,12,positive,SPECIALIZE
chúc m?ng cho 2te dù tôi r?t ti?c cho 24k . chúc c? hai s? luôn thành công,3,3,0,3,positive,OTHER
chúc m?ng cho 2te dù tôi r?t ti?c cho 24k . chúc c? hai s? luôn thành công,9,9,5,9,positive,OTHER
chúc m?ng cho 2te dù tôi r?t ti?c cho 24k . chúc c? hai s? luôn thành công,,,11,17,positive,OTHER
không tin ???c double 2t l?i quán quân . quá hay gi?ng nh?,3,4,,,positive,OTHER
m? ngô ki?n huy sang ??p lão quá,0,3,4,7,positive,APPEARANCE
tui mê cái cách ông quán quân chia s? cùng m?i ng??i quá,4,6,1,1,positive,SPECIALIZE
haiz con nh?t nhòa quay l?i coi ph?i tua m?t vcl ?i ra,,,,,neutral,OTHER
suboi bi?u di?n n?i da gà v? phía bên ngoài là,0,0,1,5,positive,SPECIALIZE
cris nhìn c?ng x?u luôn á tuy nhiên,0,0,1,3,positive,APPEARANCE
ti?t m?c c?a a thái là n?i da gà phía trên,0,4,6,8,positive,SPECIALIZE
có bà ngân cái vui h?n í coi t? ??u ??n cu?i c??i x?u,1,2,4,6,positive,APPEARANCE
nói d? 7 n? không th? thi?u cô bé hài nh?t vô tri thúy ngân,7,14,4,6,positive,APPEARANCE
bài suboi và pháp ki?u quá ??nh luôn,0,4,5,7,positive,SPECIALIZE
chúc m?ng quán quân 2t ng??i mi?n núi ch?t mùa này,2,4,0,10,positive,OTHER
ai t?o giùm tôi các m?c nh?c v?i c?a kênh nhìn chán vl,,,0,12,negative,TECHNICAL
m?i ng??i ?i?u x?ng ?áng ch? so v?i pháp ki?u m?t bài quá ?ã . mà rap h?i ng?n lên phía là,5,9,10,13,positive,SPECIALIZE
team bray m?i x?ng ?áng vô ??ch . k?t qu? quá th?t v?ng,0,1,2,6,positive,SPECIALIZE
team bray m?i x?ng ?áng vô ??ch . k?t qu? quá th?t v?ng,8,9,10,12,negative,SPECIALIZE
tr?i ?i giây phút ??m ng??c chào ?ón giao th?a mà ông tr??ng giang ông d?ch ra cái gì á sau cùng,,,0,19,neutral,APPEARANCE
anh thái vg c?t ti?ng hát tau mu?n r?ng h?t tr?ng ah . m?n anh thái vg hehe,0,2,3,11,positive,SPECIALIZE
anh thái vg c?t ti?ng hát tau mu?n r?ng h?t tr?ng ah . m?n anh thái vg hehe,14,16,13,17,positive,OTHER
theo c?m nh?n c?a mình ph?n trình bày c?a vanda là ??c s?c nh?t phát hi?n,9,9,11,12,positive,SPECIALIZE
theo c?m nh?n c?a mình ph?n trình bày c?a vanda là ??c s?c nh?t phát hi?n,5,9,10,13,positive,SPECIALIZE
vanda suboi thaivg là ??nh,0,2,4,4,positive,OTHER
phút cu?i có nhóc ??u b?c nào vô hát nh?m v?y qua phía bên trong là,3,5,0,10,negative,APPEARANCE
